Date,1990_base,1990_cc_h0,1990_cc_h5,1990_cc_all_h5,1995_base,1995_cc_h0,1995_cc_h5,1995_cc_all_h5,2000_base,2000_cc_h0,2000_cc_h5,2000_cc_all_h5,2005_base,2005_cc_h0,2005_cc_h5,2005_cc_all_h5,2010_base,2010_cc_h0,2010_cc_h5,2010_cc_all_h5,2015_base,2015_cc_h0,2015_cc_h5,2015_cc_all_h5,2020_base,2020_cc_h0,2020_cc_h5,2020_cc_all_h5
2014-06-20,25340201.137903538,130401999.78909212,89932843.28748134,293870926.6673837,9632099.670571608,17154903.17198236,13866230.525399948,38551311.24981654,9229236.799269188,22676016.239417948,17439407.043394946,29354390.343123104,2724885.618873901,4685596.135441322,3916944.9604875655,5096896.904547682,2165316.456270863,2351110.3620881927,2243148.7189091705,2385520.7462471495,,,,,,,,
2014-06-27,25408131.779981755,131208243.73349689,90497585.64423087,295740796.0396961,9672595.969313111,17264865.005743347,13949842.154951464,38812382.47364609,9187959.347131005,22685372.783215057,17422095.06862245,29319540.278471425,2697256.9556682264,4660559.017423366,3890943.454642911,5072711.703047306,2159863.6162952525,2350841.7072310834,2240744.409308073,2382152.0671429494,,,,,,,,
2014-07-04,25550485.03790974,131915767.37226272,90987769.16428745,297274271.86949277,9716681.596033288,17322148.388825357,13999528.293463157,38933888.74438502,9302816.92827821,23056444.919425376,17688223.26401154,29843744.960755195,2728136.2906656144,4706633.574287596,3927878.7104190723,5121341.971740115,2185754.272112144,2377507.7205614746,2265775.884499823,2407365.913069062,,,,,,,,
2014-07-11,25441211.632640157,131694894.5877443,90821039.33725864,297339314.46488565,9711190.419371786,17382704.20031757,14032094.320106229,39008592.575508505,9253073.766217295,23040549.136118576,17669407.13857094,29907476.249606013,2713488.9241432543,4704567.09568925,3925245.178304166,5132649.477627203,2177778.643576922,2372871.6485843896,2261247.265955394,2403049.2713770806,,,,,,,,
2014-07-18,25152782.749636702,130188133.9110211,89748226.14598936,295280105.0931816,9775977.091678835,17667183.889818083,14246467.273620171,39315974.92841057,9114187.07135076,22893520.530155517,17537661.067524575,29806502.862202477,2686920.4799231607,4695148.737956719,3911362.6880697575,5120643.816747324,2166184.889094651,2365483.307984993,2252811.087307967,2398522.626668422,,,,,,,,
2014-07-25,25210629.6921207,130317048.512,89848556.6174998,295365278.6068087,9805503.2423449,17703314.189912397,14278091.640034653,39281869.98510512,9097012.137033358,22853802.66255891,17488007.112565327,29753431.08659594,2678544.477427365,4685353.889481594,3906586.1058862796,5116357.939846698,2166729.4715686576,2368142.9582418,2254911.414263158,2397007.276852276,,,,,,,,
2014-08-01,24703944.271122657,127616514.79017007,87988762.71709989,289463745.4155812,9588732.81461994,17392014.581330936,14023502.426659599,38782175.34521735,9059869.807063697,22822705.115253482,17472081.55879531,29727017.975762337,2637717.0129928226,4602672.233811656,3842060.8048149236,5019598.074881461,2123576.176217116,2321523.6551487683,2210854.576449766,2357133.1860174155,,,,,,,,
2014-08-08,24850413.115134917,128072950.48913856,88300370.05163717,292253095.2778631,9588085.419755915,17356105.72557216,14006563.505441109,38711923.04888506,9232902.29118239,23260752.042955667,17813717.985670045,30216258.547765546,2675031.5768719143,4629338.514964697,3867724.6056319517,5032829.678876307,2138871.577271052,2338032.115893066,2226385.240891743,2379666.110365483,,,,,,,,
2014-08-15,25262056.733635027,130247752.89795735,89774234.00303128,297242924.2931076,9795932.465612425,17800119.628195528,14352105.929940255,39936594.605149746,9238190.128775576,23425528.40603235,17927318.226570282,30542410.035209123,2686933.889999993,4706449.684443088,3928339.3475571102,5128050.440964659,2166697.814466914,2376160.0267846016,2262737.8842109777,2419008.6838623174,,,,,,,,
2014-08-22,25717004.192049604,132129917.7707979,91116954.51101391,301740782.56138813,10004534.857136255,18124850.964252237,14623275.947141854,40709156.69781009,9557039.99349115,23603078.506008826,18053695.804019384,30755008.833611604,2826544.727421704,4841681.054429344,4034221.421824159,5249315.086696017,2236625.549832961,2423305.9716360904,2305955.4252917883,2466748.185564718,,,,,,,,
