Date,1990_none,1990_ideal_d30,1995_none,1995_ideal_d30,2000_none,2000_ideal_d30,2005_none,2005_ideal_d30,2010_none,2010_ideal_d30,2015_none,2015_ideal_d30,2020_none,2020_ideal_d30
2021-12-31,80178204.13252844,478421831.3536067,36451901.6967687,82096423.67992827,34391518.18163788,112086666.8254646,11379466.528426785,31270860.69582155,10308476.044072015,13532962.852868848,3582611.214234242,4437945.33272956,1938095.1002880791,2097238.5719247335
2022-01-07,79206615.8600821,483788019.8052689,35250918.96368735,79798863.05319865,33151619.630102664,111177741.04318322,10894160.249110332,30402118.920040376,9844209.51685112,13042973.09950733,3485827.174090877,4350725.478366447,1843805.003454856,2010453.8691044822
2022-01-14,76984091.80848213,476312481.0917894,35028646.077241324,80245581.37106057,32511529.15532176,108227908.97324783,10825651.422903834,30624023.808258597,9810053.90881027,13076696.707557233,3460266.1050829156,4360317.449756236,1862853.1483831187,2029106.9666288563
2022-01-21,73807514.28131635,457501581.8593258,33664788.85469806,77401071.50339487,30986908.93544578,103887099.51876208,10290055.521545062,29414627.161641676,9345393.14386779,12468527.554264238,3227951.2853233437,4037663.49215434,1705538.0123029067,1872437.2793962806
2022-01-28,74842819.11695877,464264266.0640856,33873561.55045226,76964863.17417307,31387409.649977367,105948127.43190527,10489553.244765572,29877319.332227446,9462640.533436522,12620869.975849152,3235657.4610943724,4064546.5529624633,1685590.1858553225,1857569.2599919178
2022-02-04,75603676.18968901,476878242.12365735,34300376.16648112,78390239.66574039,31445480.883991513,106750384.80731237,10632075.545904621,30606755.31935352,9674368.992510363,12993435.45853655,3306327.751455688,4194149.760246603,1721159.8713573208,1900831.1321665712
2022-02-11,74733448.44747417,478600652.88883424,33781205.37337348,77428805.578906,31216416.722689923,106641628.80777834,10428583.339758178,30192306.215360455,9383312.840159368,12573853.56905856,3230133.40761211,4063020.344239768,1696749.7779331286,1878003.8523380987
2022-02-18,74596768.9683018,478700218.9660346,33321308.258253023,76256943.16471016,31162640.72200955,107693628.14732338,10313664.048620893,30174167.20526144,9282427.062940702,12479229.726120943,3191795.0935270726,4047183.025323178,1692965.047982915,1876033.6318901263
2022-02-25,73727370.53305817,478175283.5984366,33570629.003739536,77346815.35034984,30854916.673672013,106989152.31755997,10417035.415455062,30554705.573477972,9399692.194848182,12677670.103511818,3189213.735457706,4057875.8958108905,1707587.915774948,1886636.2059654156
2022-03-04,72009625.02874233,462738818.5319996,33643336.75930338,78366538.06463385,30920643.963504396,108841923.2292032,10356679.425627947,30832497.132847026,9336306.124059096,12615759.522476597,3121795.4498467776,3970953.4090806227,1686506.5325155288,1854152.4900374808
