Date,SPY
2010-03-12,961353.2496623149
2010-03-19,962095.7119736617
2010-03-26,971580.7057875954
2010-04-02,979580.6910088839
2010-04-09,1000365.5211989701
2010-04-16,998138.3022048326
2010-04-23,996818.7144166834
2010-04-30,931496.8097296319
2010-05-07,956652.4438362782
2010-05-14,886959.2314129573
2010-05-21,913516.7438602431
2010-05-28,913104.5353682275
2010-06-04,900237.9876366003
2010-06-11,924898.6188790314
2010-06-18,890184.5172508708
2010-06-25,851567.4083060725
2010-07-02,888030.268144605
2010-07-09,908913.3431779705
2010-07-16,907090.1875905511
2010-07-23,913968.2502895704
2010-07-30,935182.7547215885
2010-08-06,900212.1248915318
2010-08-13,893996.5851100115
2010-08-20,872036.427508489
2010-08-27,907172.8979927991
2010-09-03,919188.8301155207
2010-09-10,936840.0696547542
2010-09-17,937273.3546046015
2010-09-24,950853.3950143008
2010-10-01,965516.3119188125
2010-10-08,978596.7311169632
2010-10-15,984178.6336443077
2010-10-22,986428.1886455496
2010-10-29,1018587.0846489324
2010-11-05,1013421.3372013252
2010-11-12,999424.8898020341
2010-11-19,1001424.382287647
2010-11-26,1021086.5342259003
2010-12-03,1031084.1645938684
2010-12-10,1039915.2843953094
2010-12-17,1051916.8576563213
2010-12-24,1052922.1459159283
2010-12-31,1066908.181041231
2011-01-07,1075116.1598324364
2011-01-14,1072687.077074843
2011-01-21,1088683.520779456
2011-01-28,1095300.352959294
2011-02-04,1108197.8016330812
2011-02-11,1124361.6814210268
2011-02-18,1096556.2915241905
2011-02-25,1117829.1550725156
2011-03-04,1088264.762631222
2011-03-11,1070760.8903569074
2011-03-18,1101067.5771696449
2011-03-25,1115283.102172454
2011-04-01,1121423.656787266
2011-04-08,1106619.1665444905
2011-04-15,1125292.824213441
2011-04-22,1144891.8307481504
2011-04-29,1123862.7319690906
2011-05-06,1136227.895120187
2011-05-13,1132863.051222846
2011-05-20,1118731.832051364
2011-05-27,1108049.0068789863
2011-06-03,1088450.504163986
2011-06-10,1070786.1653123153
2011-06-17,1084548.0006670575
2011-06-24,1115571.2870460732
2011-07-01,1144227.6284316208
2011-07-08,1106779.885031701
2011-07-15,1136873.3721375274
2011-07-22,1100778.3006866558
2011-07-29,1016583.9814554041
2011-08-05,991815.9526449781
2011-08-12,967978.3948673535
2011-08-19,982939.9089194731
2011-08-26,1022332.4803665659
2011-09-02,1006271.2118593784
2011-09-09,1026474.2982253288
2011-09-16,958965.8999706273
2011-09-23,986071.5682614408
2011-09-30,989810.1624130008
2011-10-07,1023967.5432625785
2011-10-14,1033739.2944609555
2011-10-21,1092963.049358713
2011-10-28,1072740.0621142525
2011-11-04,1056341.0664620488
2011-11-11,1037563.0341433579
2011-11-18,990404.6696697681
2011-11-25,1061864.0220834254
2011-12-02,1053197.1475071588
2011-12-09,1038157.6253700766
2011-12-16,1071163.6942143529
2011-12-23,1078432.1332179923
2011-12-30,1094849.8541693855
2012-01-06,1107419.3162125319
2012-01-13,1124093.3134559663
2012-01-20,1127684.8762224137
2012-01-27,1134525.6562629575
2012-02-03,1157441.727792593
2012-02-10,1163342.044376104
2012-02-17,1168301.3097129217
2012-02-24,1177707.707652232
2012-03-02,1171806.6353391574
2012-03-09,1203274.8784912818
2012-03-16,1195493.2991138988
2012-03-23,1204339.449536662
2012-03-30,1200560.1299586147
2012-04-06,1191972.1031668258
2012-04-13,1182782.8515221486
2012-04-20,1203738.5605635794
2012-04-27,1195922.721445976
2012-05-04,1168182.4082615685
2012-05-11,1123866.9304666664
2012-05-18,1138209.5859760777
2012-05-25,1129105.8997119998
2012-06-01,1134087.0812061646
2012-06-08,1146282.6250551892
2012-06-15,1143329.6537700577
2012-06-22,1146351.4804154362
2012-06-29,1180882.4435793299
2012-07-06,1152567.1881368596
2012-07-13,1188997.8035140082
2012-07-20,1175530.534749201
2012-07-27,1179587.7948667826
2012-08-03,1213860.2145499438
2012-08-10,1225773.4514219556
2012-08-17,1214291.9880406638
2012-08-24,1212824.277258032
2012-08-31,1241139.95255026
2012-09-07,1265484.436925215
2012-09-14,1266520.206277224
2012-09-21,1255315.4238861932
2012-09-28,1268247.5521499582
2012-10-05,1244206.535179799
2012-10-12,1265556.986963329
2012-10-19,1227456.4611602868
2012-10-26,1239607.3329951023
2012-11-02,1198035.1535163845
2012-11-09,1177726.5169213726
2012-11-16,1210272.5144012668
2012-11-23,1233444.9461928946
2012-11-30,1232229.733054486
2012-12-07,1237871.1702774586
2012-12-14,1259481.4250909942
2012-12-21,1237298.66314799
2012-12-28,1273745.820605588
2013-01-04,1285545.6980430468
2013-01-11,1293586.9964804833
2013-01-18,1305911.518175044
2013-01-25,1308446.151161699
2013-02-01,1319458.9782435533
2013-02-08,1331083.7783320914
2013-02-15,1314738.523448861
2013-02-22,1325140.049283644
2013-03-01,1352847.0263972979
2013-03-08,1369890.9112771812
2013-03-15,1355176.940642145
2013-03-22,1375457.1114235914
2013-03-29,1368346.535928811
2013-04-05,1397581.3463103855
2013-04-12,1353245.79969707
2013-04-19,1391698.8313565967
2013-04-26,1402497.703001976
2013-05-03,1429977.037577057
2013-05-10,1451574.109108204
2013-05-17,1452539.5956107897
2013-05-24,1455875.553844808
2013-05-31,1428660.220797308
2013-06-07,1441652.8913961197
2013-06-14,1399424.822626073
2013-06-21,1421657.2947803773
2013-06-28,1423421.1675820232
2013-07-05,1477789.1920931877
2013-07-12,1490409.7078668592
2013-07-19,1490939.3903210524
2013-07-26,1506207.6466060772
2013-08-02,1498617.9385679192
2013-08-09,1468433.4280346448
2013-08-16,1465609.3506250975
2013-08-23,1448928.3838756867
2013-08-30,1464726.9943745171
2013-09-06,1491115.39133944
2013-09-13,1524742.1660653579
2013-09-20,1504946.7538140411
2013-09-27,1486588.4033130512
2013-10-04,1500335.4599563254
2013-10-11,1536254.110539052
2013-10-18,1553370.7133969523
2013-10-25,1559046.5783000484
2013-11-01,1551419.5876034154
2013-11-08,1589910.5736810293
2013-11-15,1595586.6065240286
2013-11-22,1606317.1266288701
2013-11-29,1586983.3811710149
2013-12-06,1579799.9197583143
2013-12-13,1609598.6723343024
2013-12-20,1639470.4787681138
2013-12-27,1631088.7661472117
